Date,Week,Month,Quarter,Year,SKU_ID,Product_Name,Category,Warehouse,Region,Actual_Demand,Forecast_Demand,Forecast_Error_Pct,MAPE,Model_Used,Confidence_Interval_Low,Confidence_Interval_High,Inventory_On_Hand,Inventory_In_Transit,Safety_Stock,Reorder_Point,Days_Of_Supply,Stockout_Risk,Overstock_Risk,Unit_Cost,Selling_Price,Revenue_Forecast,Gross_Margin_Pct,Lead_Time_Days,Supplier,Supplier_Reliability_Pct,Elasticity,Promo_Planned,Promo_Lift_Pct,External_Factor,Trend_Direction,Seasonality_Index,ABC_Classification
2022-05-07,18,May,Q2,2022,SKU-1019,Automotive Item 019,Automotive,APAC Fulfillment,Middle East & Africa,2449,2718,11.0,6.28,ARIMA,2310,3125,5408,1926,2952,6543,66.2,Medium,Low,46.74,116.85,317607.63,29.5,44,Supplier_10,88.0,-1.72,0,53.0,Weather,Stable,1.245,C
2024-01-18,3,January,Q1,2024,SKU-1019,Apparel Item 019,Apparel,European DC,Middle East & Africa,5393,5926,9.9,5.4,XGBoost,5037,6814,8392,1459,4729,9402,46.7,Medium,Low,84.22,210.55,1247741.57,49.1,26,Supplier_05,76.6,-0.92,0,0,Weather,Downward,1.091,B
2022-07-18,29,July,Q3,2022,SKU-1002,Office Item 002,Office,Central Depot,Europe,4597,3803,17.3,15.93,XGBoost,3232,4373,5611,1652,7899,14181,36.6,High,Low,172.8,432.0,1642877.12,22.1,41,Supplier_11,86.5,-1.15,0,0,None,Stable,0.916,A
2022-05-06,18,May,Q2,2022,SKU-1019,Office Item 019,Office,APAC Fulfillment,Asia Pacific,4557,4283,6.0,22.98,ARIMA,3640,4925,1989,639,5087,9795,13.1,High,Low,127.06,317.66,1360526.66,60.4,31,Supplier_12,73.4,-2.52,0,0,Economic,Downward,1.248,A
2024-04-02,14,April,Q2,2024,SKU-1014,Healthcare Item 014,Healthcare,East Coast Hub,Asia Pacific,1370,1195,12.8,5.65,Holt-Winters,1015,1374,8103,1416,462,1329,177.4,Low,High,190.61,476.52,569436.94,41.8,19,Supplier_12,83.5,-0.21,0,0,Economic,Stable,1.3,B
2024-02-18,7,February,Q1,2024,SKU-1029,Sports Item 029,Sports,East Coast Hub,North America,412,479,16.3,15.4,LSTM,407,550,9344,1441,556,1119,680.4,Low,High,176.78,441.95,211692.77,49.5,41,Supplier_13,93.7,-0.27,0,0,Weather,Upward,1.224,B
2024-04-15,16,April,Q2,2024,SKU-1003,Automotive Item 003,Automotive,West Coast Hub,Europe,4989,5839,17.0,3.21,Prophet,4963,6714,817,1685,3800,9620,4.9,High,Low,16.26,40.65,237336.26,34.3,35,Supplier_13,90.3,-1.15,0,0,Supply Shock,Stable,1.29,A
2022-05-12,19,May,Q2,2022,SKU-1025,Apparel Item 025,Apparel,Central Depot,Asia Pacific,1769,2062,16.6,9.41,Prophet,1752,2371,2891,986,2655,5131,49.0,Medium,Low,169.79,424.46,875242.64,42.7,42,Supplier_12,87.9,-2.24,1,0,Supply Shock,Stable,1.229,B
2024-02-11,6,February,Q1,2024,SKU-1029,Food & Beverage Item 029,Food & Beverage,Central Depot,Latin America,2271,1849,18.6,9.88,Ensemble,1571,2126,4024,1881,3444,6699,53.2,Medium,Low,45.3,113.26,209419.74,21.9,43,Supplier_12,78.4,-2.4,0,0,Economic,Upward,1.198,A
2022-03-26,12,March,Q1,2022,SKU-1003,Healthcare Item 003,Healthcare,Central Depot,Middle East & Africa,5059,5685,12.4,7.59,XGBoost,4832,6537,4308,1899,3649,10394,25.5,Medium,Low,53.92,134.79,766293.25,62.0,40,Supplier_08,89.8,-0.78,0,0,Supply Shock,Downward,1.298,A
2022-03-28,13,March,Q1,2022,SKU-1024,Office Item 024,Office,European DC,North America,862,709,17.7,22.35,Holt-Winters,602,815,8705,385,221,594,303.0,Low,High,195.31,488.27,346180.79,45.6,13,Supplier_04,71.9,-0.21,1,43.3,Holiday,Downward,1.299,A
2022-02-25,8,February,Q1,2022,SKU-1017,Electronics Item 017,Electronics,East Coast Hub,Europe,1176,1153,2.0,20.35,Holt-Winters,980,1325,6539,1624,1803,3331,166.8,Low,Medium,113.19,282.98,326279.85,36.0,39,Supplier_10,95.6,-2.28,0,0,Economic,Downward,1.246,A
2022-05-23,21,May,Q2,2022,SKU-1019,Sports Item 019,Sports,APAC Fulfillment,Latin America,2526,2139,15.3,5.74,ARIMA,1818,2459,6401,1358,1654,3169,76.0,Low,Medium,40.22,100.56,215098.22,27.1,18,Supplier_09,90.4,-0.1,0,0,Holiday,Stable,1.189,B
