Date,Year,Quarter,Month,Region,Country,Salesperson,Channel,Product,Category,Units_Sold,Unit_Price,Discount_Pct,Revenue,COGS,Gross_Profit,Gross_Margin_Pct,Pipeline_Stage,Deal_Size,Customer_Type,Contract_Length_Mo,NPS_Score,Forecast_Revenue,Target_Revenue,Attainment_Pct,Lead_Source,Days_To_Close
2022-08-17,2022,Q3,August,Asia Pacific,France,Rep_006,Marketplace,Enterprise Suite,Software,16,2386.47,16.9,31723.76,18485.28,13238.48,41.7,Proposal,Mid-Market,New,1,2,29938.59,31791.72,62.1,Outbound,171
2024-05-09,2024,Q2,May,Latin America,Germany,Rep_028,Online,Analytics Add-on,Add-on,38,2925.27,19.0,90072.92,57505.97,32566.95,36.2,Negotiation,Enterprise,New,12,6,82906.9,85746.8,88.7,Referral,159
2023-06-26,2023,Q2,June,Latin America,Brazil,Rep_040,Online,Enterprise Suite,Software,35,1422.3,2.0,48799.7,26412.16,22387.53,45.9,Discovery,Mid-Market,New,1,1,50373.62,54129.96,138.8,Outbound,30
2024-02-18,2024,Q1,February,Latin America,Brazil,Rep_005,Marketplace,Security Module,Add-on,41,8373.28,8.9,312813.06,116951.34,195861.71,62.6,Closed Lost,Enterprise,Reactivated,12,3,310451.96,284027.73,134.0,Paid,147
2023-03-26,2023,Q1,March,North America,UK,Rep_014,Marketplace,AI Accelerator,Add-on,15,8252.67,10.0,111374.94,62051.15,49323.79,44.3,Negotiation,Enterprise,New,36,7,119943.75,117738.98,71.4,Outbound,68
2023-06-23,2023,Q2,June,Middle East & Africa,Australia,Rep_006,Direct,Data Connector,Add-on,26,3746.57,3.5,94041.95,53510.76,40531.19,43.1,Closed Won,Enterprise,New,12,7,95855.24,89707.26,107.7,Event,140
2023-05-30,2023,Q2,May,North America,UAE,Rep_008,Online,Enterprise Suite,Software,44,8869.93,19.2,315285.22,190345.58,124939.64,39.6,Proposal,Enterprise,New,36,1,343901.51,362685.57,81.1,SEO,50
2024-11-05,2024,Q4,November,Asia Pacific,Germany,Rep_035,Marketplace,Pro Plan,Software,41,5174.1,9.3,192307.62,74190.53,118117.08,61.4,Closed Won,Enterprise,Reactivated,24,8,173825.96,225315.19,130.3,Referral,66
2022-04-29,2022,Q2,April,Middle East & Africa,France,Rep_009,Partner,Analytics Add-on,Add-on,6,1038.4,1.7,6122.62,2626.11,3496.51,57.1,Proposal,SMB,Reactivated,12,5,6156.5,6383.67,137.1,SEO,56
2023-10-01,2023,Q4,October,Asia Pacific,UK,Rep_022,Direct,Data Connector,Add-on,29,9015.22,6.2,245238.13,107941.68,137296.45,56.0,Discovery,Enterprise,Reactivated,12,10,231515.46,203154.59,110.5,Outbound,22
2022-03-06,2022,Q1,March,North America,Germany,Rep_037,Marketplace,AI Accelerator,Add-on,33,2531.45,5.4,79063.49,39032.53,40030.96,50.6,Proposal,Enterprise,New,36,7,74168.03,66316.26,94.5,Event,110
2024-08-14,2024,Q3,August,North America,Japan,Rep_013,Partner,Enterprise Suite,Software,4,4144.69,21.5,13007.39,6379.93,6627.46,51.0,Discovery,Mid-Market,Existing,12,7,12183.99,12812.95,130.0,Inbound,118
